index,title,authors,type
51,ASSET: A Dataset for Tuning and Evaluation of Sentence Simplification Models with Multiple Rewriting Transformations,"Fernando Alva-Manchego, Louis Martin, Antoine Bordes, Carolina Scarton, Benoît Sagot and Lucia Specia",long
52,"Attend, Translate and Summarize: An Efficient Method for Neural Cross-Lingual Summarization","Junnan Zhu, Yu Zhou, Jiajun Zhang and Chengqing Zong",long
53,Attentive Pooling with Learnable Norms for Text Representation,"Chuhan Wu, Fangzhao Wu, Tao Qi, Xiaohui Cui and Yongfeng Huang",long
54,Autoencoding Pixies: Amortised Variational Inference with Graph Convolutions for Functional Distributional Semantics,Guy Emerson,long
55,Automated Evaluation of Writing – 50 Years and Counting,Beata Beigman Klebanov and Nitin Madnani,long
56,Automatic Detection of Generated Text is Easiest when Humans are Fooled,"Daphne Ippolito, Daniel Duckworth, Chris Callison-Burch and Douglas Eck",long
57,Automatic Generation of Citation Texts in Scholarly Papers: A Pilot Study,"Xinyu Xing, Xiaosheng Fan and Xiaojun Wan",long
58,Automatic Poetry Generation from Prosaic Text,Tim Van de Cruys,long
59,BabyWalk: Going Farther in Vision-and-Language Navigation by Taking Baby Steps,"Wang Zhu, Hexiang Hu, Jiacheng Chen, Zhiwei Deng, Vihan Jain, Eugene Ie and Fei Sha",long
60,Balancing Objectives in Counseling Conversations: Advancing Forwards or Looking Backwards,Justine Zhang and Cristian Danescu-Niculescu-Mizil,long
61,Balancing Training for Multilingual Neural Machine Translation,"Xinyi Wang, Yulia Tsvetkov and Graham Neubig",long
62,"BART: Denoising Sequence-to-Sequence Pre-training for Natural Language Generation, Translation, and Comprehension","Mike Lewis, Yinhan Liu, Naman Goyal, Marjan Ghazvininejad, Abdelrahman Mohamed, Omer Levy, Veselin Stoyanov and Luke Zettlemoyer",long
63,Benchmarking Multimodal Regex Synthesis with Complex Structures,"Xi Ye, Qiaochu Chen, Isil Dillig and Greg Durrett",long
64,BERTRAM: Improved Word Embeddings Have Big Impact on Contextualized Model Performance,Timo Schick and Hinrich Schütze,long
65,Beyond Accuracy: Behavioral Testing of NLP Models with CheckList,"Marco Tulio Ribeiro, Tongshuang Wu, Carlos Guestrin and Sameer Singh",long
66,Beyond Possession Existence: Duration and Co-Possession,"Dhivya Chinnappa, Srikala Murugan and Eduardo Blanco",long
67,Beyond User Self-Reported Likert Scale Ratings: A Comparison Model for Automatic Dialog Evaluation,"Weixin Liang, James Zou and Zhou Yu",long
68,Bilingual Dictionary Based Neural Machine Translation without Using Parallel Sentences,"Xiangyu Duan, Baijun Ji, Hao Jia, Min Tan, Min Zhang, Boxing Chen, Weihua Luo and Yue Zhang",long
69,Biomedical Entity Representations with Synonym Marginalization,"Mujeen Sung, Hwisang Jeon, Jinhyuk Lee and Jaewoo Kang",long
70,Bipartite Flat-Graph Network for Nested Named Entity Recognition,Ying Luo and Hai Zhao,long
71,BiRRE: Learning Bidirectional Residual Relation Embeddings for Supervised Hypernymy Detection,Chengyu Wang and Xiaofeng He,long
72,BLEURT: Learning Robust Metrics for Text Generation,"Thibault Sellam, Dipanjan Das and Ankur Parikh",long
73,Boosting Neural Machine Translation with Similar Translations,"Jitao XU, Josep Crego and Jean Senellart",long
74,Bootstrapping Techniques for Polysynthetic Morphological Analysis,William Lane and Steven Bird,long
75,BPE-Dropout: Simple and Effective Subword Regularization,"Ivan Provilkov, Dmitrii Emelianenko and Elena Voita",long
76,Breaking Through the 80\% Glass Ceiling: Raising the State of the Art in Word Sense Disambiguation by Incorporating Knowledge Graph Information,Michele Bevilacqua and Roberto Navigli,long
77,Bridging Anaphora Resolution as Question Answering,Yufang Hou,long
78,Bridging the Structural Gap Between Encoding and Decoding for Data-To-Text Generation,"Chao Zhao, Marilyn Walker and Snigdha Chaturvedi",long
79,Building a User-Generated Content North-African Arabizi Treebank: Tackling Hell,"Djamé Seddah, Farah Essaidi, Amal Fethi, Matthieu Futeral, Benjamin Muller, Pedro Javier Ortiz Suárez, Benoît Sagot and Abhishek Srivastava",long
80,Calibrating Structured Output Predictors for Natural Language Processing,Abhyuday Jagannatha and Hong Yu,long
81,CamemBERT: a Tasty French Language Model,"Louis Martin, Benjamin Muller, Pedro Javier Ortiz Suárez, Yoann Dupont, Laurent Romary, Éric de la Clergerie, Djamé Seddah and Benoît Sagot",long
82,Can We Predict New Facts with Open Knowledge Graph Embeddings? A Benchmark for Open Link Prediction,"Samuel Broscheit, Kiril Gashteovski, Yanjie Wang and Rainer Gemulla",long
83,Can You Put it All Together: Evaluating Conversational Agents’ Ability to Blend Skills,"Eric Michael Smith, Mary Williamson, Kurt Shuster, Jason Weston and Y-Lan Boureau",long
84,CDL: Curriculum Dual Learning for Emotion-Controllable Response Generation,Lei Shen and Yang Feng,long
85,ChartDialogs: Plotting from Natural Language Instructions,Yutong Shao and Ndapa Nakashole,long
86,CH-SIMS: A Chinese Multimodal Sentiment Analysis Dataset with Fine-grained Annotation of Modality,"Wenmeng Yu, Hua Xu, Fanyang Meng, Yilin Zhu, Yixiao Ma, Jiele Wu, Jiyun Zou and Kaicheng Yang",long
87,"Climbing towards NLU: On Meaning, Form, and Understanding in the Age of Data",Emily M. Bender and Alexander Koller,long
88,Clinical Reading Comprehension: A Thorough Analysis of the emrQA Dataset,"Xiang Yue, Bernal Jimenez Gutierrez and Huan Sun",long
89,CluBERT: A Cluster-Based Approach for Learning Sense Distributions in Multiple Languages,"Tommaso Pasini, Federico Scozzafava and Bianca Scarlini",long
90,CluHTM - Semantic Hierarchical Topic Modeling based on CluWords,"Felipe Viegas, Washington Cunha, Christian Gomes, Antônio Pereira, Leonardo Rocha and Marcos Goncalves",long
91,Code and Named Entity Recognition in StackOverflow,"Jeniya Tabassum, Mounica Maddela, Wei Xu and Alan Ritter",long
92,CompGuessWhat?!: A Multi-task Evaluation Framework for Grounded Language Learning,"Alessandro Suglia, Ioannis Konstas, Andrea Vanzo, Emanuele Bastianelli, Desmond Elliott, Stella Frank and Oliver Lemon",long
93,Compositionality and Generalization In Emergent Languages,"Rahma Chaabouni, Eugene Kharitonov, Diane Bouchacourt, Emmanuel Dupoux and Marco Baroni",long
94,Conditional Augmentation for Aspect Term Extraction via Masked Sequence-to-Sequence Generation,"Kun Li, Chengbo Chen, Xiaojun Quan, Qing Ling and Yan Song",long
95,Connecting Embeddings for Knowledge Graph Entity Typing,"Yu Zhao, anxiang zhang, Ruobing Xie, Kang Liu and Xiaojie WANG",long
96,Contextualized Weak Supervision for Text Classification,Dheeraj Mekala and Jingbo Shang,long
97,Continual Relation Learning via Episodic Memory Activation and Reconsolidation,"Xu Han, Yi Dai, Tianyu Gao, Yankai Lin, Zhiyuan Liu, Peng Li, Maosong Sun and Jie Zhou",long
98,Conversational Graph Grounded Policy Learning for Open-Domain Conversation Generation,"Jun Xu, Haifeng Wang, Zheng-Yu Niu, Hua Wu, Wanxiang Che and Ting Liu",long
99,CorefQA: Coreference Resolution as Query-based Span Prediction,"Wei Wu, Fei Wang, Arianna Yuan, Fei Wu and Jiwei Li",long
100,Coupling Distant Annotation and Adversarial Training for Cross-Domain Chinese Word Segmentation,"Ning Ding, Dingkun Long, Guangwei Xu, Muhua Zhu, Pengjun Xie, Xiaobin Wang and Haitao Zheng",long
101,CraftAssist Instruction Parsing: Semantic Parsing for a Voxel-World Assistant,"Kavya Srinet, Yacine Jernite, Jonathan Gray and Arthur Szlam",long
102,Cross-Lingual Semantic Role Labeling with High-Quality Translated Training Corpus,"Hao Fei, Meishan Zhang and Donghong Ji",long
103,Cross-Lingual Unsupervised Sentiment Classification with Multi-View Transfer Learning,Hongliang Fei and Ping Li,long
104,Cross-Linguistic Syntactic Evaluation of Word Prediction Models,"Aaron Mueller, Garrett Nicolai, Panayiota Petrou-Zeniou, Natalia Talmina and Tal Linzen",long
105,Cross-media Structured Common Space for Multimedia Event Extraction,"Manling Li, Alireza Zareian, Qi Zeng, Spencer Whitehead, Di Lu, Heng Ji and Shih-Fu Chang",long
106,Cross-modal Coherence Modeling for Caption Generation,"Malihe Alikhani, Piyush Sharma, Shengjie Li, Radu Soricut and Matthew Stone",long
107,Cross-modal Language Generation using Pivot Stabilization for Web-scale Language Coverage,Ashish V. Thapliyal and Radu Soricut,long
108,Cross-Modality Relevance for Reasoning on Language and Vision,"Chen Zheng, Quan Guo and Parisa Kordjamshidi",long
109,Curriculum Learning for Natural Language Understanding,"Benfeng Xu, Licheng Zhang, Zhendong Mao, Quan Wang, Hongtao Xie and Yongdong Zhang",long
110,Curriculum Pre-training for End-to-End Speech Translation,"Chengyi Wang, Yu Wu, Shujie Liu, Ming Zhou and Zhenglu Yang",long
111,Data Manipulation: Towards Effective Instance Learning for Neural Dialogue Generation via Learning to Augment and Reweight,"Hengyi Cai, Hongshen Chen, Yonghao Song, Cheng Zhang, Xiaofang Zhao and Dawei Yin",long
112,DeFormer: Decomposing Pre-trained Transformers for Faster Question Answering,"Qingqing Cao, Harsh Trivedi, Aruna Balasubramanian and Niranjan Balasubramanian",long
113,Demographics Should Not Be the Reason of Toxicity: Mitigating Discrimination in Text Classifications with Instance Weighting,"Guanhua Zhang, Bing Bai, Junqi Zhang, Kun Bai, Conghui Zhu and Tiejun Zhao",long
114,Dense-Caption Matching and Frame-Selection Gating for Temporal Localization in VideoQA,"Hyounghun Kim, Zineng Tang and Mohit Bansal",long
115,Dependency Graph Enhanced Dual-transformer Structure for Aspect-based Sentiment Classification,"Hao Tang, Donghong Ji, Chenliang Li and Qiji Zhou",long
116,DeSePtion: Dual Sequence Prediction and Adversarial Examples for Improved Fact-Checking,"Christopher Hidey, Tuhin Chakrabarty, Tariq Alhindi, Siddharth Varia, Kriste Krstovski, Mona Diab and Smaranda Muresan",long
117,Detecting Perceived Emotions in Hurricane Disasters,"Shrey Desai, Cornelia Caragea and Junyi Jessy Li",long
118,Dialogue Coherence Assessment Without Explicit Dialogue Act Labels,"Mohsen Mesgar, Sebastian Bücker and Iryna Gurevych",long
119,Dialogue-Based Relation Extraction,"Dian Yu, Kai Sun, Claire Cardie and Dong Yu",long
120,Dice Loss for Data-imbalanced NLP Tasks,"Xiaoya Li, Xiaofei Sun, Yuxian Meng, Junjun Liang, Fei Wu and Jiwei Li",long
121,Differentiable Window for Dynamic Local Attention,"Thanh-Tung Nguyen, Xuan-Phi Nguyen, Shafiq Joty and Xiaoli Li",long
122,Discourse as a Function of Event: Profiling Discourse Structure in News Articles around the Main Event,"Prafulla Kumar Choubey, Aaron Lee, Ruihong Huang and Lu Wang",long
123,Discourse-Aware Neural Extractive Text Summarization,"Jiacheng Xu, Zhe Gan, Yu Cheng and Jingjing Liu",long
124,Discrete Latent Variable Representations for Low-Resource Text Classification,"Shuning Jin, Sam Wiseman, Karl Stratos and Karen Livescu",long
125,Discrete Optimization for Unsupervised Sentence Summarization with Word-Level Extraction,"Raphael Schumann, Lili Mou, Yao Lu, Olga Vechtomova and Katja Markert",long
126,Distilling Annotations via Active Imitation Learning,"Kianté Brantley, Hal Daumé III and Amr Sharaf",long
127,Distilling Knowledge Learned in BERT for Text Generation,"Yen-Chun Chen, Zhe Gan, Yu Cheng, Jingzhou Liu and Jingjing Liu",long
128,Distinguish Confusing Law Articles for Legal Judgment Prediction,"Nuo Xu, Pinghui Wang, Long Chen, Li Pan, Xiaoyan Wang and Junzhou Zhao",long
129,Diverse and Informative Dialogue Generation with Context-Specific Commonsense Knowledge Awareness,"Sixing Wu, Ying Li, Dawei Zhang, Yang Zhou and Zhonghai Wu",long
130,Diversifying Dialogue Generation with Non-Conversational Text,"Hui Su, Xiaoyu Shen, Sanqiang Zhao, Zhou Xiao, Pengwei Hu, Randy Zhong, Cheng Niu and Jie Zhou",long
131,Do Neural Language Models Show Preferences for Syntactic Formalisms?,"Artur Kulmizev, Vinit Ravishankar, Mostafa Abdou and Joakim Nivre",long
132,Do Neural Models Learn Systematicity of Monotonicity Inference in Natural Language?,"Hitomi Yanaka, Koji Mineshima, Daisuke Bekki and Kentaro Inui",long
133,Document Modeling with Graph Attention Networks for Multi-grained Machine Reading Comprehension,"Bo Zheng, Haoyang Wen, Yaobo Liang, Nan Duan, Wanxiang Che, Daxin Jiang, Ming Zhou and Ting Liu",long
134,Document Translation vs. Query Translation for Cross-Lingual Information Retrieval in the Medical Domain,Shadi Saleh and Pavel Pecina,long
135,Document-Level Event Role Filler Extraction using Multi-Granularity Contextualized Encoding,Xinya Du and Claire Cardie,long
136,Don’t Say That! Making Inconsistent Dialogue Unlikely with Unlikelihood Training,"Margaret Li, Stephen Roller, Ilia Kulikov, Sean Welleck, Y-Lan Boureau, Kyunghyun Cho and Jason Weston",long
137,Don’t Stop Pretraining: Adapt Language Models to Domains and Tasks,"Suchin Gururangan, Ana Marasović, Swabha Swayamdipta, Kyle Lo, Iz Beltagy, Doug Downey and Noah A. Smith",long
138,DoQA - Accessing Domain-Specific FAQs via Conversational QA,"Jon Ander Campos, Arantxa Otegi, Aitor Soroa, Jan Deriu, Mark Cieliebak and Eneko Agirre",long
139,Double-Hard Debias: Tailoring Word Embeddings for Gender Bias Mitigation,"Tianlu Wang, Xi Victoria Lin, Nazneen Fatema Rajani, Bryan McCann, Vicente Ordonez and Caiming Xiong",long
140,DRTS Parsing with Structure-Aware Encoding and Decoding,"Qiankun Fu, Yue Zhang, Jiangming Liu and Meishan Zhang",long
141,DTCA: Decision Tree-based Co-Attention Networks for Explainable Claim Verification,"Lianwei Wu, Yuan Rao, Yongqiang Zhao, Hao Liang and Ambreen Nazir",long
142,Dynamic Fusion Network for Multi-Domain End-to-end Task-Oriented Dialog,"Libo Qin, Xiao Xu, Wanxiang Che, Yue Zhang and Ting Liu",long
143,Dynamic Online Conversation Recommendation,"Xingshan Zeng, Jing Li, Lu Wang, Zhiming Mao and Kam-Fai Wong",long
144,Dynamic Programming Encoding for Subword Segmentation in Neural Machine Translation,"Xuanli He, Gholamreza Haffari and Mohammad Norouzi",long
145,"ECPE-2D: Emotion-Cause Pair Extraction based on Joint Two-Dimensional Representation, Interaction and Prediction","Zixiang Ding, Rui Xia and Jianfei Yu",long
146,Effective Estimation of Deep Generative Language Models,Tom Pelsmaeker and Wilker Aziz,long
147,Effective Inter-Clause Modeling for End-to-End Emotion-Cause Pair Extraction,"Penghui Wei, Jiahao Zhao and Wenji Mao",long
148,Efficient Constituency Parsing by Pointing,"Thanh-Tung Nguyen, Xuan-Phi Nguyen, Shafiq Joty and Xiaoli Li",long
149,Efficient Dialogue State Tracking by Selectively Overwriting Memory,"Sungdong Kim, Sohee Yang, Gyuwan Kim and Sang-Woo Lee",long
150,Efficient Pairwise Annotation of Argument Quality,"Lukas Gienapp, Benno Stein, Matthias Hagen and Martin Potthast",long
151,Efficient Second-Order TreeCRF for Neural Dependency Parsing,"Yu Zhang, Zhenghua Li and Min Zhang",long
152,Emergence of Syntax Needs Minimal Supervision,Raphaël Bailly and Kata Gábor,long
153,Emerging Cross-lingual Structure in Pretrained Language Models,"Alexis Conneau, Shijie Wu, Haoran Li, Luke Zettlemoyer and Veselin Stoyanov",long
154,Empower Entity Set Expansion via Language Model Probing,"Yunyi Zhang, Jiaming Shen, Jingbo Shang and Jiawei Han",long
155,Empowering Active Learning to Jointly Optimize System and User Demands,"Ji-Ung Lee, Christian M. Meyer and Iryna Gurevych",long
156,End-to-End Bias Mitigation by Modelling Biases in Corpora,"Rabeeh Karimi Mahabadi, Yonatan Belinkov and James Henderson",long
157,End-to-End Neural Pipeline for Goal-Oriented Dialogue Systems using GPT-2,"Donghoon Ham, Jeong-Gwan Lee, Youngsoo Jang and Kee-Eung Kim",long
158,End-to-End Neural Word Alignment Outperforms GIZA++,"Thomas Zenkel, Joern Wuebker and John DeNero",long
159,Enhancing Answer Boundary Detection for Multilingual Machine Reading Comprehension,"Fei Yuan, Linjun Shou, Xuanyu Bai, Ming Gong, Yaobo Liang, Nan Duan, Yan Fu and Daxin Jiang",long
160,Enhancing Cross-target Stance Detection with Transferable Semantic-Emotion Knowledge,"Bowen Zhang, Min Yang, Xutao Li, Yunming Ye, Xiaofei Xu and Kuai Dai",long
161,ERASER: A Benchmark to Evaluate Rationalized NLP Models,"Jay DeYoung, Sarthak Jain, Nazneen Fatema Rajani, Eric Lehman, Caiming Xiong, Richard Socher and Byron C. Wallace",long
162,ESPRIT: Explaining Solutions to Physical Reasoning Tasks,"Nazneen Fatema Rajani, Rui Zhang, Yi Chern Tan, Stephan Zheng, Jeremy Weiss, Aadit Vyas, Abhijit Gupta, Caiming Xiong, Richard Socher and Dragomir Radev",long
163,Estimating predictive uncertainty for rumour verification models,Elena Kochkina and Maria Liakata,long
164,Estimating the influence of auxiliary tasks for multi-task learning of sequence tagging tasks,Fynn Schröder and Chris Biemann,long
165,Evaluating and Enhancing the Robustness of Neural Network-based Dependency Parsing Models with Adversarial Examples,"Xiaoqing Zheng, Jiehang Zeng, Yi Zhou, Cho-Jui Hsieh, Minhao Cheng and Xuanjing Huang",long
166,Evaluating Explainable AI: Which Algorithmic Explanations Help Users Predict Model Behavior?,Peter Hase and Mohit Bansal,long
167,Evaluating Explanation Methods for Neural Machine Translation,"Jierui Li, Lemao Liu, Huayang Li, Guanlin Li, Guoping Huang and Shuming Shi",long
168,Evidence-Aware Inferential Text Generation with Vector Quantised Variational AutoEncoder,"Daya Guo, Duyu Tang, Nan Duan, Jian Yin, Daxin Jiang and Ming Zhou",long
169,"Exact yet Efficient Graph Parsing, Bi-directional Locality and the Constructivist Hypothesis",Yajie Ye and Weiwei Sun,long
170,Examining Citations of Natural Language Processing Literature,Saif M. Mohammad,long
171,Examining the State-of-the-Art in News Timeline Summarization,Demian Gholipour Ghalandari and Georgiana Ifrim,long
172,Exclusive Hierarchical Decoding for Deep Keyphrase Generation,"Wang Chen, Hou Pong Chan, Piji Li and Irwin King",long
173,Expertise Style Transfer: A New Task Towards Better Communication between Experts and Laymen,"Yixin Cao, Ruihao Shui, Liangming Pan, Min-Yen Kan, Zhiyuan Liu and Tat-Seng Chua",long
174,Explaining Black Box Predictions and Unveiling Data Artifacts through Influence Functions,"Xiaochuang Han, Byron C. Wallace and Yulia Tsvetkov",long
175,Explicit Memory Tracker with Coarse-to-Fine Reasoning for Conversational Machine Reading,"Yifan Gao, Chien-Sheng Wu, Shafiq Joty, Caiming Xiong, Richard Socher, Irwin King, Michael Lyu and Steven C.H. Hoi",long
176,Explicit Semantic Decomposition for Definition Generation,"Jiahuan Li, Yu Bao, Shujian Huang, Xinyu Dai and Jiajun Chen",long
177,Exploiting Syntactic Structure for Better Language Modeling: A Syntactic Distance Approach,"Wenyu DU, Zhouhan Lin, Yikang Shen, Timothy J. O’Donnell, Yoshua Bengio and Yue Zhang",long
178,Exploiting the Syntax-Model Consistency for Neural Relation Extraction,"Amir Pouran Ben Veyseh, Franck Dernoncourt, Dejing Dou and Thien Huu Nguyen",long
179,Exploring Contextual Word-level Style Relevance for Unsupervised Style Transfer,"Chulun Zhou, Liangyu Chen, Jiachen Liu, Xinyan Xiao, Jinsong Su, Sheng Guo and Hua Wu",long
180,Exploring Unexplored Generalization Challenges for Cross-Database Semantic Parsing,"Alane Suhr, Ming-Wei Chang, Peter Shaw and Kenton Lee",long
181,"Extracting Headless MWEs from Dependency Parse Trees: Parsing, Tagging, and Joint Modeling Approaches",Tianze Shi and Lillian Lee,long
182,Extractive Summarization as Text Matching,"Ming Zhong, Pengfei Liu, Yiran Chen, Danqing Wang, Xipeng Qiu and Xuanjing Huang",long
183,Facet-Aware Evaluation for Extractive Summarization,"Yuning Mao, Liyuan Liu, Qi Zhu, Xiang Ren and Jiawei Han",long
184,Fact-based Text Editing,"Hayate Iso, Chao Qiao and Hang Li",long
185,Fast and Accurate Deep Bidirectional Language Representations for Unsupervised Learning,"Joongbo Shin, Yoonhyung Lee, Seunghyun Yoon and Kyomin Jung",long
186,Fast and Accurate Non-Projective Dependency Tree Linearization,"Xiang Yu, Simon Tannert, Ngoc Thang Vu and Jonas Kuhn",long
187,FastBERT: a Self-distilling BERT with Adaptive Inference Time,"Weijie Liu, Peng Zhou, Zhiruo Wang, Zhe Zhao, Haotang Deng and QI JU",long
188,Feature Projection for Improved Text Classification,"Qi Qin, Wenpeng Hu and Bing Liu",long
189,FEQA: A Question Answering Evaluation Framework for Faithfulness Assessment in Abstractive Summarization,"Esin Durmus, He He and Mona Diab",long
